"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","image-keyboard-response","1003","384821","0.0-3.0-2.246","","null","img_mproj/false/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1004","385499","0.0-3.0-3.246","","677","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNP"
"","","","","","image-keyboard-response","1005","385701","0.0-3.0-0.247","","null","img_mproj/faces/11.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1006","386002","0.0-3.0-1.247","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1007","386205","0.0-3.0-2.247","","null","img_mproj/Mfaces/11.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1008","386443","0.0-3.0-3.247","","237","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMM"
"","","","","","image-keyboard-response","1009","386648","0.0-3.0-0.248","","null","img_mproj/false/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1010","386950","0.0-3.0-1.248","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1011","387152","0.0-3.0-2.248","","null","img_mproj/Mfalse/2.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1012","388489","0.0-3.0-3.248","","1336","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","s","SMP"
"","","","","","image-keyboard-response","1013","388691","0.0-3.0-0.249","","null","img_mproj/false/4.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1014","388993","0.0-3.0-1.249","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1015","389196","0.0-3.0-2.249","","null","img_mproj/false/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1016","389727","0.0-3.0-3.249","","530","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNP"
"","","","","","image-keyboard-response","1017","389928","0.0-3.0-0.250","","null","img_mproj/Mfaces/12.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1018","390230","0.0-3.0-1.250","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1019","390437","0.0-3.0-2.250","","null","img_mproj/Mfaces/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1020","391083","0.0-3.0-3.250","","645","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","1021","391286","0.0-3.0-0.251","","null","img_mproj/tools/12.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1022","391587","0.0-3.0-1.251","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1023","391790","0.0-3.0-2.251","","null","img_mproj/Mtools/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1024","392181","0.0-3.0-3.251","","390","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","image-keyboard-response","1025","392384","0.0-3.0-0.252","","null","img_mproj/faces/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1026","392686","0.0-3.0-1.252","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1027","392889","0.0-3.0-2.252","","null","img_mproj/faces/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1028","393250","0.0-3.0-3.252","","361","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","1029","393453","0.0-3.0-0.253","","null","img_mproj/jap/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1030","393755","0.0-3.0-1.253","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1031","393956","0.0-3.0-2.253","","null","img_mproj/Mjap/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1032","394614","0.0-3.0-3.253","","658","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMJ"
"","","","","","image-keyboard-response","1033","394820","0.0-3.0-0.254","","null","img_mproj/false/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1034","395122","0.0-3.0-1.254","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1035","395325","0.0-3.0-2.254","","null","img_mproj/Mfalse/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1036","396740","0.0-3.0-3.254","","1415","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMP"
"","","","","","image-keyboard-response","1037","396943","0.0-3.0-0.255","","null","img_mproj/jap/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1038","397245","0.0-3.0-1.255","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1039","397448","0.0-3.0-2.255","","null","img_mproj/Mjap/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1040","398162","0.0-3.0-3.255","","714","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMJ"
"","","","","","image-keyboard-response","1041","398365","0.0-3.0-0.256","","null","img_mproj/tools/11.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1042","398666","0.0-3.0-1.256","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1043","398869","0.0-3.0-2.256","","null","img_mproj/tools/11.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1044","399478","0.0-3.0-3.256","","608","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","s","SNT"
"","","","","","image-keyboard-response","1045","399681","0.0-3.0-0.257","","null","img_mproj/jap/12.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1046","399982","0.0-3.0-1.257","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1047","400185","0.0-3.0-2.257","","null","img_mproj/jap/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1048","401026","0.0-3.0-3.257","","840","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNJ"
"","","","","","image-keyboard-response","1049","401227","0.0-3.0-0.258","","null","img_mproj/faces/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1050","401529","0.0-3.0-1.258","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1051","401731","0.0-3.0-2.258","","null","img_mproj/faces/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1052","402319","0.0-3.0-3.258","","589","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","1053","402526","0.0-3.0-0.259","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1054","402828","0.0-3.0-1.259","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1055","403031","0.0-3.0-2.259","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1056","403327","0.0-3.0-3.259","","295","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","1057","403529","0.0-3.0-0.260","","null","img_mproj/jap/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1058","403830","0.0-3.0-1.260","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1059","404032","0.0-3.0-2.260","","null","img_mproj/jap/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1060","404475","0.0-3.0-3.260","","442","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNJ"
"","","","","","image-keyboard-response","1061","404677","0.0-3.0-0.261","","null","img_mproj/french/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1062","404978","0.0-3.0-1.261","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1063","405180","0.0-3.0-2.261","","null","img_mproj/Mfrench/5.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1064","405717","0.0-3.0-3.261","","537","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","1065","405919","0.0-3.0-0.262","","null","img_mproj/french/14.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1066","406221","0.0-3.0-1.262","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1067","406424","0.0-3.0-2.262","","null","img_mproj/Mfrench/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1068","407225","0.0-3.0-3.262","","800","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","1069","407426","0.0-3.0-0.263","","null","img_mproj/tools/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1070","407728","0.0-3.0-1.263","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1071","407936","0.0-3.0-2.263","","null","img_mproj/tools/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1072","408422","0.0-3.0-3.263","","486","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNT"
"","","","","","image-keyboard-response","1073","408624","0.0-3.0-0.264","","null","img_mproj/Mfrench/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1074","408926","0.0-3.0-1.264","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","1075","409128","0.0-3.0-2.264","","null","img_mproj/Mfrench/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","1076","409614","0.0-3.0-3.264","","486","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMF"
"","","","","","image-keyboard-response","1077","409817","0.0-3.0-0.265","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","1078","410118","0.0-3.0-1.265","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
